"Дата";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день";"Заражений за день";"Смертей за день"
08.12.2020;2515009;1981526;44159;562;26097;24938;26097;562
08.10.2021;7717356;6819796;214485;936;27246;20566;27246;936
30.10.2020;1599976;1200560;27656;355;18283;14519;18283;355
15.10.2021;7925176;6960024;221313;999;32196;22268;32196;999
22.12.2020;2906503;2319520;51912;561;28776;24158;28776;561
12.09.2022;20113098;19096666;385429;81;46488;35660;46488;81
11.03.2022;17242043;15194927;359585;674;50743;151210;50743;674
12.08.2022;18824282;18104261;383011;57;27810;14320;27810;57
25.01.2022;11241109;10071740;327448;681;67809;26404;67809;681
01.10.2022;21018942;20093616;387372;103;33186;52628;33186;103
10.12.2021;9956679;8673518;287180;1176;30873;35657;30873;1176
29.11.2022;21584740;20992153;391943;53;4928;5863;4928;53
19.12.2021;10214790;8984921;297203;1023;27967;32655;27967;1023
26.08.2021;6824540;6092818;179243;820;19630;19661;19630;820
06.02.2021;3951233;3436326;76229;497;16627;22831;16627;497
22.07.2021;6054711;5427457;151501;796;24471;22660;24471;796
20.01.2021;3633952;3027316;67220;597;21152;25290;21152;597
16.08.2021;6621601;5899917;171305;806;20765;15601;20765;806
28.02.2021;4246079;3811797;86122;379;11359;12391;11359;379
01.08.2021;6288677;5625890;159352;789;22804;17271;22804;789
29.12.2020;3105037;2496183;55827;562;27002;24874;27002;562
19.10.2022;21335087;20659469;389176;92;10656;20859;10656;92
26.11.2021;9502879;8200971;270292;1235;34690;36145;34690;1235
11.11.2022;21489074;20890728;390902;67;5554;6213;5554;67
02.01.2022;10537966;9524039;310518;811;18233;26976;18233;811
05.07.2021;5635294;5083441;138579;654;24353;14540;24353;654
25.07.2020;806720;597140;13192;146;5871;8366;5871;146
07.05.2021;4863514;4480360;112622;376;8386;8022;8386;376
16.07.2020;752797;531692;11937;167;6428;8443;6428;167
16.12.2022;21701321;21096061;392891;59;8451;7393;8451;59
16.06.2022;18388424;17810796;380270;67;3326;4699;3326;67
02.06.2020;423741;186985;5037;182;8863;11108;8863;182
02.05.2020;124054;15013;1222;57;9623;1793;9623;57
03.07.2022;18439759;17867688;381263;47;3080;2595;3080;47
26.12.2022;21769627;21168975;393433;50;5335;5577;5335;50
25.05.2022;18305973;17707077;378609;93;4580;6705;4580;93
12.06.2020;511423;269370;6715;183;8987;8220;8987;183
22.04.2020;57999;4420;513;57;5236;547;5236;57
10.01.2023;21832768;21253611;394168;47;3032;5062;3032;47
25.07.2022;18538826;17942908;382189;34;6571;4234;6571;34
17.06.2021;5264047;4839705;127992;416;14057;11205;14057;416
08.08.2020;882347;690207;14854;129;5212;6615;5212;129
25.05.2021;5017795;4632955;119194;393;7884;8743;7884;393
02.07.2020;661165;428978;9683;147;6760;6047;6760;147
08.03.2021;4333029;3922246;89473;379;10253;10322;10253;379
22.09.2020;1115810;917949;19649;160;6215;5976;6215;160
28.04.2021;4787273;4411098;109367;387;7848;8420;7848;387
23.09.2020;1122241;923699;19799;150;6431;5750;6431;150
04.05.2022;18206167;17569936;376421;129;5093;6664;5093;129
26.03.2020;840;35;2;0;182;6;182;0
09.04.2022;17983004;17183730;371457;288;13573;40100;13573;288
18.05.2022;18273690;17664676;377975;106;4732;6134;4732;106
13.04.2020;18328;1470;148;18;2569;179;2569;18
26.03.2022;17739462;16606691;367013;395;24072;60933;24072;395
18.03.2021;4428239;4037036;93824;460;9803;12061;9803;460
31.08.2020;995319;809387;17176;83;4993;2405;4993;83
18.04.2021;4702101;4326780;105582;389;8632;7391;8632;389
15.10.2020;1354163;1048097;23491;286;13754;8392;13754;286
15.01.2022;10774304;9835884;320634;723;27179;26584;27179;723
06.11.2022;21463850;20855333;390588;62;4566;5735;4566;62
13.11.2021;9031851;7754764;254167;1241;39256;33802;39256;1241
24.10.2022;21380264;20727435;389626;89;7329;8329;7329;89
09.01.2021;3379103;2754809;61381;470;23309;23680;23309;470
29.07.2021;6218502;5568363;156977;799;23270;20834;23270;799
17.02.2021;4112151;3642582;81446;467;12828;17919;12828;467
19.08.2021;6684531;5963054;173700;791;21058;24017;21058;791
23.01.2021;3698273;3109315;68971;559;20921;27779;20921;559
11.07.2021;5783333;5200219;143002;749;25033;17382;25033;749
03.02.2021;3901204;3365367;74684;526;16474;24822;16474;526
06.09.2021;7030455;6285007;187990;790;17856;14276;17856;790
24.12.2021;10343353;9180379;302269;998;24703;41213;24703;998
16.11.2022;21514341;20919237;391212;63;5380;6906;5380;63
05.12.2021;9801613;8502406;281278;1206;32602;30593;32602;1206
14.10.2022;21278816;20559274;388709;99;14736;27520;14736;99
20.01.2022;10938261;9950333;324060;684;38850;24478;38850;684
25.08.2022;19265521;18401387;383829;71;43919;30775;43919;71
16.03.2022;17449438;15822031;362478;576;36519;118009;36519;576
30.08.2022;19482648;18557580;384254;94;37067;36729;37067;94
